,answers,score
0," It includes the name of the program, the type of parameters it can take. It should also include a brief description of what the function does.",4.5
1, it includes the specific information about the function such as input and output variable types and how many of each.,3
2, The function signature includes the name of the function and the types of its arguments.,5
3," A function signature consists of the function prototype.  This tells you the general information about a function, its name, parameters, what scope it is in, and other miscellaneous information.",4.5
4, It includes the name of the function and the types of its arguments.,5
5," Name, paramaters, scope, and other general function information",4.5
6, It includes a function name and parameter list. Does not include return type. Function signatures must be different.,5
7, input parameters and return type,3
8, The portion of the function prototyp tha has the function name and the arguments but NOT the return type.,5
9, Name of the function and the types of it's arguments,5
10, The name of the function and the types of its arguments.,5
11, Includes the name of the function and the types of its arguments.,5
12," identification of a function and the data types of its parameters, it has the name, and the data type variables ",5
13," a return type, and input parameters",3
14, The function signature includes the method name and the input types. ,5
15," A function signature includes the name of the function and types of arguments, but not the return type.<br><br>",5
16, The signature can include a result type and thrown errors. ,2
17," function name, and input paramaters",5
18," The name of the function and the types of its arguments.<br>This includes the number, type, and order the parameters appear in.",5
19, the name of the function and the types of its arguments,5
20, A function signature includes the name of the function and the types of its arguments,5
21," A function signature includes a function's return type, parameters and semi-colon.",3
22, the name of the function and the types of its arguments,5
23, the function's name and parameters,5
24, The name of the function and the types of its arguments.,5
25, The portion of a function prototype that includes the name of the function and the types of its arguments,5
26, the name of the function and its parameters,5
27, The function name and parameters,5
28, name of function and types of arguments,5
29, a function's return type and parameter list,3
30," it includes the name of the function, and the types of its arguments. it does not specify the function return type. Function in the same scope must have unqiue signatures. ",5
